R,G,B,Name
238,106,167,HotPink
205,96,144,HotPink
139,58,98,HotPink
255,181,197,pink
238,169,184,pink
205,145,158,pink
139,99,108,pink
255,174,185,LightPink
238,162,173,LightPink
205,140,149,LightPink
139,95,101,LightPink
255,130,171,PaleVioletRed
238,121,159,PaleVioletRed
205,104,137,PaleVioletRed
139,71,93,PaleVioletRed
255,52,179,maroon
238,48,167,maroon
205,41,144,maroon
139,28,98,maroon
255,62,150,VioletRed
238,58,140,VioletRed
205,50,120,VioletRed
139,34,82,VioletRed
255,0,255,magenta
238,0,238,magenta
205,0,205,magenta
139,0,139,magenta
255,131,250,orchid
238,122,233,orchid
205,105,201,orchid
139,71,137,orchid
255,187,255,plum
238,174,238,plum
205,150,205,plum
139,102,139,plum
224,102,255,MediumOrchid
209,95,238,MediumOrchid
180,82,205,MediumOrchid
122,55,139,MediumOrchid
191,62,255,DarkOrchid
178,58,238,DarkOrchid
154,50,205,DarkOrchid
104,34,139,DarkOrchid
155,48,255,purple
145,44,238,purple
125,38,205,purple
85,26,139,purple
171,130,255,MediumPurple
159,121,238,MediumPurple
137,104,205,MediumPurple
93,71,139,MediumPurple
255,225,255,thistle
238,210,238,thistle
205,181,205,thistle
139,123,139,thistle
169,169,169,DarkGrey
0,0,139,DarkBlue
0,139,139,DarkCyan
139,0,139,DarkMagenta
139,0,0,DarkRed
144,238,144,LightGreen
220,20,60,crimson
75,0,130,indigo
128,128,0,olive
102,51,153,RebeccaPurple
192,192,192,silver
0,128,128,teal
